TimeStamp; Cell; Direction; BSSID; SSID; Strength 
1520615887379,00;C15;D1;50:0f:80:fd:84:4d;tudelft-dastud;-64
1520615887379,00;C15;D1;50:0f:80:c4:60:0d;tudelft-dastud;-65
1520615887379,00;C15;D1;e0:3f:49:09:d9:9c;TRIBLER;-84
1520615887379,00;C15;D1;38:90:a5:37:46:9f;eduroam;-74
1520615887379,00;C15;D1;50:0f:80:fd:7f:be;TUvisitor;-58
1520615887379,00;C15;D1;50:0f:80:c0:ce:2e;TUvisitor;-56
1520615887379,00;C15;D1;50:0f:80:d8:ee:0d;tudelft-dastud;-67
1520615887379,00;C15;D1;50:0f:80:e3:7a:fe;TUvisitor;-70
1520615887379,00;C15;D1;50:0f:80:d8:ee:01;TUvisitor;-61
1520615887379,00;C15;D1;50:0f:80:c0:ce:21;TUvisitor;-60
1520615887379,00;C15;D1;38:90:a5:37:46:9e;TUvisitor;-73
1520615887379,00;C15;D1;38:90:a5:37:46:9d;tudelft-dastud;-73
1520615887379,00;C15;D1;50:0f:80:fd:7f:b0;eduroam;-59
1520615887379,00;C15;D1;50:0f:80:d8:ee:0e;TUvisitor;-67
1520615887379,00;C15;D1;50:0f:80:fd:84:4e;TUvisitor;-65
1520615887379,00;C15;D1;e0:3f:49:09:d9:98;TRIBLER;-70
1520615887379,00;C15;D1;50:0f:80:c4:60:0f;eduroam;-63
1520615887379,00;C15;D1;50:0f:80:d8:ee:0f;eduroam;-67
1520615887379,00;C15;D1;50:0f:80:fd:7f:bf;eduroam;-58
1520615887379,00;C15;D1;50:0f:80:fd:7f:bd;tudelft-dastud;-58
1520615887379,00;C15;D1;50:0f:80:fe:3f:8e;TUvisitor;-69
1520615887379,00;C15;D1;50:0f:80:fe:3f:8d;tudelft-dastud;-69
1520615887379,00;C15;D1;50:0f:80:c0:ce:2f;eduroam;-57
1520615887379,00;C15;D1;50:0f:80:fd:7f:b2;tudelft-dastud;-59
1520615887379,00;C15;D1;50:0f:80:fd:7f:b1;TUvisitor;-59
1520615887379,00;C15;D1;50:0f:80:fd:84:4f;eduroam;-64
1520615887379,00;C15;D1;50:0f:80:fe:3f:8f;eduroam;-69
1520615887379,00;C15;D1;50:0f:80:c0:ce:2d;tudelft-dastud;-57
1520615867380,00;C15;D1;50:0f:80:fd:84:4d;tudelft-dastud;-67
1520615867380,00;C15;D1;50:0f:80:c4:60:0d;tudelft-dastud;-65
1520615867380,00;C15;D1;e0:3f:49:09:d9:9c;TRIBLER;-85
1520615867380,00;C15;D1;38:90:a5:37:46:9f;eduroam;-71
1520615867380,00;C15;D1;50:0f:80:fd:7f:be;TUvisitor;-57
1520615867380,00;C15;D1;50:0f:80:c0:ce:2e;TUvisitor;-58
1520615867380,00;C15;D1;50:0f:80:d8:ee:0d;tudelft-dastud;-69
1520615867380,00;C15;D1;50:0f:80:e3:7a:fe;TUvisitor;-70
1520615867380,00;C15;D1;50:0f:80:d8:ee:01;TUvisitor;-63
1520615867380,00;C15;D1;50:0f:80:c0:ce:21;TUvisitor;-59
