TimeStamp, CellandDirection, BSSID, SSID, Strength
1520606693757,C12D1,38:90:a5:37:40:8d,tudelft-dastud, -81
1520606693757,C12D1,50:0f:80:c4:5f:6d,tudelft-dastud, -70
1520606693757,C12D1,50:0f:80:c0:ce:20,eduroam, -65
1520606693757,C12D1,38:90:a5:8f:e7:0f,eduroam, -80
1520606693757,C12D1,38:90:a5:8c:93:e0,eduroam, -67
1520606693757,C12D1,50:0f:80:c4:60:0d,tudelft-dastud, -73
1520606693757,C12D1,50:0f:80:fd:7f:5d,tudelft-dastud, -82
1520606693757,C12D1,50:0f:80:fd:7f:50,eduroam, -66
1520606693757,C12D1,38:90:a5:8c:93:ed,tudelft-dastud, -73
1520606693757,C12D1,38:90:a5:20:f0:ff,eduroam, -90
1520606693757,C12D1,50:0f:80:fd:7f:5f,eduroam, -82
1520606693757,C12D1,50:0f:80:fd:7f:51,TUvisitor, -66
1520606693757,C12D1,38:90:a5:9d:1a:ee,TUvisitor, -92
1520606693757,C12D1,50:0f:80:c0:ce:2e,TUvisitor, -65
1520606693757,C12D1,50:0f:80:d8:ee:0d,tudelft-dastud, -88
1520606693757,C12D1,50:0f:80:d8:f4:2f,eduroam, -78
1520606693757,C12D1,50:0f:80:d8:ee:01,TUvisitor, -76
1520606693757,C12D1,38:90:a5:9d:1b:3e,TUvisitor, -86
1520606693757,C12D1,50:0f:80:c4:5f:9f,eduroam, -85
1520606693757,C12D1,50:0f:80:c0:d6:8d,tudelft-dastud, -82
1520606693757,C12D1,50:0f:80:e0:e6:df,eduroam, -87
1520606693757,C12D1,50:0f:80:c0:ce:21,TUvisitor, -65
1520606693757,C12D1,38:90:a5:91:7f:8f,eduroam, -73
1520606693757,C12D1,50:0f:80:c4:5f:7e,TUvisitor, -74
1520606693757,C12D1,50:0f:80:c4:60:01,TUvisitor, -71
1520606693757,C12D1,38:90:a5:37:46:9e,TUvisitor, -86
1520606693757,C12D1,50:0f:80:ee:6d:3e,TUvisitor, -81
1520606693757,C12D1,50:0f:80:e3:79:6e,TUvisitor, -63
1520606693757,C12D1,50:0f:80:d8:ee:0e,TUvisitor, -87
1520606693757,C12D1,50:0f:80:fd:84:4e,TUvisitor, -82
1520606693757,C12D1,50:0f:80:c9:58:7e,TUvisitor, -70
1520606693757,C12D1,38:90:a5:91:7f:8e,TUvisitor, -73
1520606693757,C12D1,50:0f:80:c9:58:7f,eduroam, -72
1520606693757,C12D1,50:0f:80:c4:60:0f,eduroam, -72
1520606693757,C12D1,50:0f:80:c4:5f:62,tudelft-dastud, -57
1520606693757,C12D1,50:0f:80:c0:d6:8f,eduroam, -81
1520606693757,C12D1,38:90:a5:37:42:dd,tudelft-dastud, -82
1520606693757,C12D1,38:90:a5:37:42:de,TUvisitor, -83
1520606693757,C12D1,50:0f:80:c4:5f:6f,eduroam, -69
1520606693757,C12D1,50:0f:80:c4:5f:9d,tudelft-dastud, -85
1520606693757,C12D1,50:0f:80:d8:f1:8f,eduroam, -87
1520606693757,C12D1,38:90:a5:8c:93:ee,TUvisitor, -74
1520606693757,C12D1,50:0f:80:d8:ee:0f,eduroam, -87
1520606693757,C12D1,50:0f:80:e3:79:6d,tudelft-dastud, -63
1520606693757,C12D1,50:0f:80:e3:79:62,tudelft-dastud, -64
1520606693757,C12D1,50:0f:80:c4:5f:7f,eduroam, -73
1520606693757,C12D1,50:0f:80:e3:79:6f,eduroam, -63
1520606693757,C12D1,50:0f:80:fd:7f:bd,tudelft-dastud, -80
1520606693757,C12D1,38:90:a5:20:e9:02,tudelft-dastud, -74
1520606693757,C12D1,38:90:a5:20:e9:00,eduroam, -74
1520606693757,C12D1,50:0f:80:c4:5f:7d,tudelft-dastud, -73
1520606693757,C12D1,50:0f:80:c9:58:70,eduroam, -71
1520606693757,C12D1,50:0f:80:d8:f3:7f,eduroam, -81
1520606693757,C12D1,50:0f:80:e3:79:60,eduroam, -65
1520606693757,C12D1,38:90:a5:8c:93:ef,eduroam, -73
1520606693757,C12D1,50:0f:80:d8:f4:2e,TUvisitor, -78
