TimeStamp, CellandDirection, BSSID, SSID, Strength
1520601560608,C18D1,38:90:a5:91:74:1f,eduroam, -70
1520601560608,C18D1,50:0f:80:fd:6d:7e,TUvisitor, -79
1520601560608,C18D1,e0:3f:49:09:d9:9c,TRIBLER, -62
1520601560608,C18D1,38:90:a5:9d:1a:ef,eduroam, -57
1520601560608,C18D1,38:90:a5:9d:1a:ee,TUvisitor, -57
1520601560608,C18D1,38:90:a5:9d:10:9f,eduroam, -66
1520601560608,C18D1,38:90:a5:9d:1a:e2,tudelft-dastud, -58
1520601560608,C18D1,38:90:a5:9d:10:9e,TUvisitor, -65
1520601560608,C18D1,38:90:a5:9d:10:9d,tudelft-dastud, -66
1520601560608,C18D1,38:90:a5:9d:1a:ed,tudelft-dastud, -56
1520601555606,C18D1,38:90:a5:91:74:1f,eduroam, -68
1520601555606,C18D1,50:0f:80:fd:6d:7e,TUvisitor, -68
1520601555606,C18D1,e0:3f:49:09:d9:9c,TRIBLER, -62
1520601555606,C18D1,38:90:a5:9d:1a:ef,eduroam, -62
1520601555606,C18D1,38:90:a5:9d:1a:ee,TUvisitor, -62
1520601555606,C18D1,38:90:a5:9d:10:9f,eduroam, -76
1520601555606,C18D1,38:90:a5:9d:1a:e2,tudelft-dastud, -55
1520601555606,C18D1,38:90:a5:9d:10:9e,TUvisitor, -72
1520601555606,C18D1,38:90:a5:9d:10:9d,tudelft-dastud, -74
1520601555606,C18D1,38:90:a5:9d:1a:ed,tudelft-dastud, -62
1520601570612,C18D1,38:90:a5:91:74:1f,eduroam, -71
1520601570612,C18D1,50:0f:80:fd:6d:7e,TUvisitor, -75
1520601570612,C18D1,e0:3f:49:09:d9:9c,TRIBLER, -61
1520601570612,C18D1,38:90:a5:9d:1a:ef,eduroam, -58
1520601570612,C18D1,38:90:a5:9d:1a:ee,TUvisitor, -57
1520601570612,C18D1,38:90:a5:9d:10:9f,eduroam, -67
1520601570612,C18D1,38:90:a5:9d:1a:e2,tudelft-dastud, -55
1520601570612,C18D1,38:90:a5:9d:10:9e,TUvisitor, -68
1520601570612,C18D1,38:90:a5:9d:10:9d,tudelft-dastud, -67
1520601570612,C18D1,38:90:a5:9d:1a:ed,tudelft-dastud, -57
1520601575609,C18D1,38:90:a5:91:74:1f,eduroam, -70
1520601575609,C18D1,50:0f:80:fd:6d:7e,TUvisitor, -74
1520601575609,C18D1,e0:3f:49:09:d9:9c,TRIBLER, -58
1520601575609,C18D1,38:90:a5:9d:1a:ef,eduroam, -58
1520601575609,C18D1,38:90:a5:9d:1a:ee,TUvisitor, -58
1520601575609,C18D1,38:90:a5:9d:10:9f,eduroam, -67
1520601575609,C18D1,38:90:a5:9d:1a:e2,tudelft-dastud, -54
1520601575609,C18D1,38:90:a5:9d:10:9e,TUvisitor, -67
1520601575609,C18D1,38:90:a5:9d:10:9d,tudelft-dastud, -67
1520601575609,C18D1,38:90:a5:9d:1a:ed,tudelft-dastud, -59
1520601585608,C18D1,38:90:a5:91:74:1f,eduroam, -69
1520601585608,C18D1,50:0f:80:fd:6d:7e,TUvisitor, -75
1520601585608,C18D1,e0:3f:49:09:d9:9c,TRIBLER, -60
1520601585608,C18D1,38:90:a5:9d:1a:ef,eduroam, -59
1520601585608,C18D1,38:90:a5:9d:1a:ee,TUvisitor, -58
1520601585608,C18D1,38:90:a5:9d:10:9f,eduroam, -66
1520601585608,C18D1,38:90:a5:9d:1a:e2,tudelft-dastud, -55
1520601585608,C18D1,38:90:a5:9d:10:9e,TUvisitor, -67
1520601585608,C18D1,38:90:a5:9d:10:9d,tudelft-dastud, -68
1520601585608,C18D1,38:90:a5:9d:1a:ed,tudelft-dastud, -58
1520601595610,C18D1,38:90:a5:91:74:1f,eduroam, -70
1520601595610,C18D1,50:0f:80:fd:6d:7e,TUvisitor, -75
1520601595610,C18D1,e0:3f:49:09:d9:9c,TRIBLER, -61
1520601595610,C18D1,38:90:a5:9d:1a:ef,eduroam, -59
1520601595610,C18D1,38:90:a5:9d:1a:ee,TUvisitor, -59
1520601595610,C18D1,38:90:a5:9d:10:9f,eduroam, -67
1520601595610,C18D1,38:90:a5:9d:1a:e2,tudelft-dastud, -55
1520601595610,C18D1,38:90:a5:9d:10:9e,TUvisitor, -67
1520601595610,C18D1,38:90:a5:9d:10:9d,tudelft-dastud, -66
1520601595610,C18D1,38:90:a5:9d:1a:ed,tudelft-dastud, -60
