TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1522755553993,Cell Test,D1,50:0f:80:c4:5f:6d,tudelft-dastud, -85
1522755553993,Cell Test,D1,50:0f:80:c4:5f:6e,TUvisitor, -85
1522755553993,Cell Test,D1,50:0f:80:fd:84:e1,TUvisitor, -77
1522755553993,Cell Test,D1,38:90:a5:20:e9:0d,tudelft-dastud, -73
1522755553993,Cell Test,D1,50:0f:80:fd:84:4d,tudelft-dastud, -87
1522755553993,Cell Test,D1,50:0f:80:e3:7a:f1,TUvisitor, -69
1522755553993,Cell Test,D1,50:0f:80:c4:60:0d,tudelft-dastud, -80
1522755553993,Cell Test,D1,50:0f:80:d8:ee:0f,eduroam, -83
1522755553993,Cell Test,D1,50:0f:80:fd:7f:bf,eduroam, -53
1522755553993,Cell Test,D1,50:0f:80:e3:79:6f,eduroam, -89
1522755553993,Cell Test,D1,50:0f:80:fd:7f:bd,tudelft-dastud, -53
1522755553993,Cell Test,D1,e0:3f:49:09:d9:9c,TRIBLER, -85
1522755553993,Cell Test,D1,38:90:a5:20:e9:02,tudelft-dastud, -70
1522755553993,Cell Test,D1,38:90:a5:9d:1a:ef,eduroam, -79
1522755553993,Cell Test,D1,5c:96:9d:65:76:8d,SLDE-™-2, -68
1522755553993,Cell Test,D1,38:90:a5:9d:1b:1d,tudelft-dastud, -71
1522755553993,Cell Test,D1,38:90:a5:9d:1a:e1,TUvisitor, -67
1522755553993,Cell Test,D1,38:90:a5:20:e9:00,eduroam, -72
1522755553993,Cell Test,D1,50:0f:80:fe:3f:8e,TUvisitor, -86
1522755553993,Cell Test,D1,50:0f:80:e3:7a:f2,tudelft-dastud, -69
1522755553993,Cell Test,D1,50:0f:80:e3:7a:fd,tudelft-dastud, -83
1522755553993,Cell Test,D1,50:0f:80:fd:7f:be,TUvisitor, -53
1522755553993,Cell Test,D1,38:90:a5:9d:1a:ee,TUvisitor, -78
1522755553993,Cell Test,D1,50:0f:80:c0:ce:2e,TUvisitor, -79
1522755553993,Cell Test,D1,50:0f:80:e3:7a:fe,TUvisitor, -84
1522755553993,Cell Test,D1,38:90:a5:9d:1b:11,TUvisitor, -69
1522755553993,Cell Test,D1,50:0f:80:d8:ee:01,TUvisitor, -76
1522755553993,Cell Test,D1,50:0f:80:fe:3f:8d,tudelft-dastud, -87
1522755553993,Cell Test,D1,50:0f:80:c0:ce:2f,eduroam, -78
1522755553993,Cell Test,D1,50:0f:80:c0:ce:21,TUvisitor, -76
1522755553993,Cell Test,D1,50:0f:80:fd:7f:b2,tudelft-dastud, -55
1522755553993,Cell Test,D1,38:90:a5:00:09:41,TUvisitor, -80
1522755553993,Cell Test,D1,38:90:a5:20:e9:0f,eduroam, -73
1522755553993,Cell Test,D1,50:0f:80:c4:60:01,TUvisitor, -77
1522755553993,Cell Test,D1,50:0f:80:fd:7f:b1,TUvisitor, -56
1522755553993,Cell Test,D1,50:0f:80:e3:7a:f0,eduroam, -68
1522755553993,Cell Test,D1,38:90:a5:20:f0:f2,tudelft-dastud, -78
1522755553993,Cell Test,D1,38:90:a5:37:46:9e,TUvisitor, -86
1522755553993,Cell Test,D1,50:0f:80:fd:84:4f,eduroam, -90
1522755553993,Cell Test,D1,38:90:a5:37:42:df,eduroam, -88
1522755553993,Cell Test,D1,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -63
1522755553993,Cell Test,D1,50:0f:80:e3:7a:ff,eduroam, -83
1522755553993,Cell Test,D1,38:90:a5:37:46:9d,tudelft-dastud, -85
1522755553993,Cell Test,D1,50:0f:80:fd:7f:b0,eduroam, -55
1522755553993,Cell Test,D1,38:90:a5:9d:1a:e0,eduroam, -67
1522755553993,Cell Test,D1,38:90:a5:9d:1b:1e,TUvisitor, -71
1522755553993,Cell Test,D1,38:90:a5:20:e9:0e,TUvisitor, -73
1522755553993,Cell Test,D1,50:0f:80:d8:ee:0e,TUvisitor, -84
1522755553993,Cell Test,D1,50:0f:80:c0:ce:22,tudelft-dastud, -76
1522755553993,Cell Test,D1,50:0f:80:fd:84:4e,TUvisitor, -87
1522755553993,Cell Test,D1,38:90:a5:9d:1a:e2,tudelft-dastud, -67
1522755553993,Cell Test,D1,e0:3f:49:09:d9:98,TRIBLER, -74
1522755553993,Cell Test,D1,38:90:a5:20:e9:01,TUvisitor, -70
1522755553993,Cell Test,D1,50:0f:80:c4:60:0f,eduroam, -80
1522755553993,Cell Test,D1,38:90:a5:9d:1b:1f,eduroam, -73
1522755553993,Cell Test,D1,50:0f:80:d8:ee:00,eduroam, -76
