TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1522850734099,C5,D4,38:90:a5:37:42:d0,eduroam, -46
1522850734099,C5,D4,38:90:a5:37:40:8d,tudelft-dastud, -85
1522850734099,C5,D4,50:0f:80:ee:6d:5e,TUvisitor, -75
1522850734099,C5,D4,50:0f:80:c4:5f:6d,tudelft-dastud, -83
1522850734099,C5,D4,50:0f:80:c4:5f:60,eduroam, -77
1522850734099,C5,D4,50:0f:80:d8:f3:7d,tudelft-dastud, -88
1522850734099,C5,D4,38:90:a5:20:e9:0d,tudelft-dastud, -66
1522850734099,C5,D4,38:90:a5:37:42:d1,TUvisitor, -46
1522850734099,C5,D4,50:0f:80:c4:60:0d,tudelft-dastud, -86
1522850734099,C5,D4,50:0f:80:fd:7f:5d,tudelft-dastud, -88
1522850734099,C5,D4,50:0f:80:d8:f3:7e,TUvisitor, -88
1522850734099,C5,D4,38:90:a5:37:40:8e,TUvisitor, -85
1522850734099,C5,D4,50:0f:80:e3:79:62,tudelft-dastud, -68
1522850734099,C5,D4,50:0f:80:fd:7f:bf,eduroam, -85
1522850734099,C5,D4,38:90:a5:20:e9:02,tudelft-dastud, -62
1522850734099,C5,D4,38:90:a5:20:f0:ff,eduroam, -75
1522850734099,C5,D4,50:0f:80:fd:7f:5f,eduroam, -88
1522850734099,C5,D4,5c:96:9d:65:76:8d,SLDE-™-2, -81
1522850734099,C5,D4,38:90:a5:20:e9:00,eduroam, -62
1522850734099,C5,D4,50:0f:80:ee:6d:5f,eduroam, -74
1522850734099,C5,D4,38:90:a5:20:f0:fd,tudelft-dastud, -76
1522850734099,C5,D4,50:0f:80:c0:ce:2e,TUvisitor, -74
1522850734099,C5,D4,38:90:a5:37:40:82,tudelft-dastud, -70
1522850734099,C5,D4,50:0f:80:e3:79:60,eduroam, -69
1522850734099,C5,D4,50:0f:80:ee:6d:51,TUvisitor, -64
1522850734099,C5,D4,c8:e0:eb:18:89:a3,Thuis ;), -58
1522850734099,C5,D4,38:90:a5:37:40:8f,eduroam, -85
1522850734099,C5,D4,50:0f:80:c0:ce:2f,eduroam, -74
1522850734099,C5,D4,50:0f:80:c4:5f:61,TUvisitor, -75
1522850734099,C5,D4,50:0f:80:c0:ce:21,TUvisitor, -77
1522850734099,C5,D4,38:90:a5:20:e9:0f,eduroam, -67
1522850734099,C5,D4,08:57:00:5b:1c:bc,TPL, -65
1522850734099,C5,D4,38:90:a5:91:74:1e,TUvisitor, -82
1522850734099,C5,D4,38:90:a5:37:42:df,eduroam, -56
1522850734099,C5,D4,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -81
1522850734099,C5,D4,50:0f:80:ee:6d:52,tudelft-dastud, -64
1522850734099,C5,D4,38:90:a5:20:e9:0e,TUvisitor, -66
1522850734099,C5,D4,50:0f:80:c0:ce:22,tudelft-dastud, -77
1522850734099,C5,D4,38:90:a5:91:74:12,tudelft-dastud, -73
1522850734099,C5,D4,38:90:a5:20:e9:01,TUvisitor, -62
1522850734099,C5,D4,38:90:a5:37:42:d2,tudelft-dastud, -46
1522850734099,C5,D4,50:0f:80:e3:79:61,TUvisitor, -68
1522850734099,C5,D4,50:0f:80:c4:60:0f,eduroam, -85
1522850734099,C5,D4,38:90:a5:91:74:11,TUvisitor, -73
1522850734099,C5,D4,38:90:a5:37:40:81,TUvisitor, -70
1522850734099,C5,D4,38:90:a5:37:42:dd,tudelft-dastud, -56
1522850734099,C5,D4,38:90:a5:37:42:de,TUvisitor, -54
1522850734099,C5,D4,50:0f:80:c4:5f:6f,eduroam, -84
1522850734099,C5,D4,50:0f:80:c4:60:0e,TUvisitor, -86
1522850734099,C5,D4,50:0f:80:c0:ce:2d,tudelft-dastud, -74
1522850709098,C5,D4,38:90:a5:37:42:d0,eduroam, -42
1522850709098,C5,D4,38:90:a5:37:40:8d,tudelft-dastud, -85
1522850709098,C5,D4,50:0f:80:c4:5f:6d,tudelft-dastud, -83
1522850709098,C5,D4,50:0f:80:c4:5f:6e,TUvisitor, -83
1522850709098,C5,D4,38:90:a5:20:e9:0d,tudelft-dastud, -66
1522850709098,C5,D4,38:90:a5:37:42:d1,TUvisitor, -42
1522850709098,C5,D4,38:90:a5:20:f0:fe,TUvisitor, -74
1522850709098,C5,D4,c8:e0:eb:18:89:a3,Thuis ;), -60
1522850709098,C5,D4,38:90:a5:37:40:8f,eduroam, -85
1522850709098,C5,D4,50:0f:80:c0:ce:2f,eduroam, -72
1522850709098,C5,D4,50:0f:80:ee:6d:5d,tudelft-dastud, -75
1522850709098,C5,D4,50:0f:80:c0:ce:21,TUvisitor, -73
1522850709098,C5,D4,50:0f:80:c4:60:0d,tudelft-dastud, -90
1522850709098,C5,D4,38:90:a5:37:40:80,eduroam, -73
1522850709098,C5,D4,50:0f:80:fd:7f:5d,tudelft-dastud, -87
1522850709098,C5,D4,38:90:a5:20:e9:0f,eduroam, -65
1522850709098,C5,D4,50:0f:80:e3:79:6d,tudelft-dastud, -78
1522850709098,C5,D4,50:0f:80:fd:7f:bf,eduroam, -83
1522850709098,C5,D4,08:57:00:5b:1c:bc,TPL, -68
1522850709098,C5,D4,38:90:a5:91:74:1e,TUvisitor, -82
