TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1520600750503,18,Right,38:90:a5:91:74:1f,eduroam, -71
1520600750503,18,Right,50:0f:80:c4:5f:6e,TUvisitor, -92
1520600750503,18,Right,50:0f:80:fd:84:e1,TUvisitor, -69
1520600750503,18,Right,38:90:a5:20:f0:fe,TUvisitor, -89
1520600750503,18,Right,50:0f:80:fd:6d:7e,TUvisitor, -74
1520600750503,18,Right,50:0f:80:c4:60:0d,tudelft-dastud, -81
1520600750503,18,Right,50:0f:80:fd:6d:7c,TU Delft Open Dagen, -75
1520600750503,18,Right,50:0f:80:fd:84:ef,eduroam, -89
1520600750503,18,Right,38:90:a5:9d:10:90,eduroam, -72
1520600750503,18,Right,50:0f:80:fd:7f:bf,eduroam, -81
1520600750503,18,Right,38:90:a5:91:74:1d,tudelft-dastud, -72
1520600750503,18,Right,e0:3f:49:09:d9:9c,TRIBLER, -65
1520600750503,18,Right,50:0f:80:fd:7f:bd,tudelft-dastud, -81
1520600750503,18,Right,38:90:a5:9d:1a:ef,eduroam, -61
1520600750503,18,Right,5c:96:9d:65:76:8d,SLDE-™-2, -60
1520600750503,18,Right,38:90:a5:9d:1a:e1,TUvisitor, -52
1520600750503,18,Right,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -81
1520600750503,18,Right,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -68
1520600750503,18,Right,50:0f:80:fd:7f:be,TUvisitor, -81
1520600750503,18,Right,38:90:a5:9d:1a:ee,TUvisitor, -60
1520600750503,18,Right,38:90:a5:91:74:13,TU Delft Open Dagen, -65
1520600750503,18,Right,50:0f:80:fd:6d:71,TUvisitor, -65
1520600750503,18,Right,50:0f:80:fd:6d:73,TU Delft Open Dagen, -65
1520600750503,18,Right,50:0f:80:fd:6d:70,eduroam, -65
1520600750503,18,Right,38:90:a5:9d:10:93,TU Delft Open Dagen, -73
1520600750503,18,Right,50:0f:80:fd:85:0c,TU Delft Open Dagen, -81
1520600750503,18,Right,50:0f:80:fd:85:0e,TUvisitor, -78
1520600750503,18,Right,38:90:a5:9d:10:9f,eduroam, -71
1520600750503,18,Right,50:0f:80:fd:84:e0,eduroam, -69
1520600750503,18,Right,50:0f:80:fd:84:ed,tudelft-dastud, -89
1520600750503,18,Right,50:0f:80:fd:6d:72,tudelft-dastud, -65
1520600750503,18,Right,50:0f:80:e3:74:2f,eduroam, -93
1520600750503,18,Right,50:0f:80:fd:85:0d,tudelft-dastud, -81
1520600750503,18,Right,38:90:a5:20:f0:fc,TU Delft Open Dagen, -89
1520600750503,18,Right,50:0f:80:fd:6d:7f,eduroam, -72
1520600750503,18,Right,50:0f:80:fd:7f:b2,tudelft-dastud, -68
1520600750503,18,Right,38:90:a5:9d:10:91,TUvisitor, -73
1520600750503,18,Right,50:0f:80:fd:84:e3,TU Delft Open Dagen, -68
1520600750503,18,Right,50:0f:80:fd:7f:b1,TUvisitor, -68
1520600750503,18,Right,50:0f:80:fd:84:e2,tudelft-dastud, -69
1520600750503,18,Right,38:90:a5:91:74:1e,TUvisitor, -72
1520600750503,18,Right,38:90:a5:9d:10:9c,TU Delft Open Dagen, -70
1520600750503,18,Right,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -87
1520600750503,18,Right,38:90:a5:9d:10:92,tudelft-dastud, -73
1520600750503,18,Right,38:90:a5:9d:1a:e0,eduroam, -52
1520600750503,18,Right,50:0f:80:fd:7f:b0,eduroam, -68
1520600750503,18,Right,50:0f:80:e3:74:2e,TUvisitor, -94
1520600750503,18,Right,38:90:a5:9d:1a:e2,tudelft-dastud, -52
1520600750503,18,Right,50:0f:80:fd:6d:7d,tudelft-dastud, -75
1520600750503,18,Right,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -61
1520600750503,18,Right,e0:3f:49:09:d9:98,TRIBLER, -62
1520600750503,18,Right,38:90:a5:91:74:12,tudelft-dastud, -66
1520600750503,18,Right,38:90:a5:9d:10:9e,TUvisitor, -71
1520600750503,18,Right,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -52
1520600750503,18,Right,38:90:a5:9d:10:9d,tudelft-dastud, -71
1520600750503,18,Right,50:0f:80:c4:60:0f,eduroam, -82
1520600750503,18,Right,38:90:a5:91:74:1c,TU Delft Open Dagen, -72
1520600750503,18,Right,38:90:a5:91:74:11,TUvisitor, -64
1520600750503,18,Right,38:90:a5:9d:1a:ed,tudelft-dastud, -60
1520600750503,18,Right,50:0f:80:c4:60:0c,TU Delft Open Dagen, -82
1520600750503,18,Right,50:0f:80:c4:60:0e,TUvisitor, -81
1520600775515,18,Right,50:0f:80:fd:85:0f,eduroam, -77
1520600775515,18,Right,38:90:a5:9d:0f:3c,TU Delft Open Dagen, -91
1520600775515,18,Right,38:90:a5:20:f0:fe,TUvisitor, -89
1520600775515,18,Right,50:0f:80:fd:6d:7e,TUvisitor, -73
1520600775515,18,Right,50:0f:80:fd:6d:7c,TU Delft Open Dagen, -72
1520600775515,18,Right,38:90:a5:9d:10:90,eduroam, -71
1520600775515,18,Right,e0:3f:49:09:d9:9c,TRIBLER, -66
1520600775515,18,Right,50:0f:80:fd:7f:bd,tudelft-dastud, -77
1520600775515,18,Right,38:90:a5:20:e9:02,tudelft-dastud, -78
1520600775515,18,Right,38:90:a5:9d:1a:ef,eduroam, -58
1520600775515,18,Right,5c:96:9d:65:76:8d,SLDE-™-2, -74
1520600775515,18,Right,38:90:a5:9d:1a:e1,TUvisitor, -54
1520600775515,18,Right,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -77
1520600775515,18,Right,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -68
1520600775515,18,Right,50:0f:80:fd:7f:be,TUvisitor, -78
1520600775515,18,Right,38:90:a5:9d:1a:ee,TUvisitor, -59
1520600775515,18,Right,38:90:a5:91:74:13,TU Delft Open Dagen, -69
1520600775515,18,Right,28:cf:e9:13:ff:69,Programming's MacBook Pro, -83
1520600775515,18,Right,38:90:a5:20:f0:fd,tudelft-dastud, -88
1520600775515,18,Right,50:0f:80:fd:6d:71,TUvisitor, -64
1520600775515,18,Right,50:0f:80:fd:6d:73,TU Delft Open Dagen, -64
1520600775515,18,Right,50:0f:80:fd:6d:70,eduroam, -65
1520600775515,18,Right,38:90:a5:9d:0f:3d,tudelft-dastud, -91
1520600775515,18,Right,38:90:a5:9d:10:93,TU Delft Open Dagen, -71
1520600775515,18,Right,50:0f:80:fd:84:ee,TUvisitor, -90
1520600775515,18,Right,38:90:a5:20:e9:0c,TU Delft Open Dagen, -90
1520600775515,18,Right,50:0f:80:d8:f4:2e,TUvisitor, -85
1520600775515,18,Right,38:90:a5:9d:10:9f,eduroam, -73
1520600775515,18,Right,50:0f:80:fd:6d:72,tudelft-dastud, -64
1520600775515,18,Right,50:0f:80:fd:85:0d,tudelft-dastud, -77
1520600775515,18,Right,38:90:a5:20:f0:fc,TU Delft Open Dagen, -89
1520600775515,18,Right,50:0f:80:fd:6d:7f,eduroam, -71
1520600775515,18,Right,50:0f:80:fd:7f:b2,tudelft-dastud, -68
1520600775515,18,Right,38:90:a5:9d:10:91,TUvisitor, -70
1520600775515,18,Right,38:90:a5:20:e9:0f,eduroam, -90
1520600775515,18,Right,50:0f:80:fd:84:e3,TU Delft Open Dagen, -71
1520600775515,18,Right,38:90:a5:9d:0f:3f,eduroam, -89
1520600775515,18,Right,50:0f:80:fd:7f:b1,TUvisitor, -68
1520600775515,18,Right,50:0f:80:fd:84:e2,tudelft-dastud, -70
1520600775515,18,Right,38:90:a5:91:74:1e,TUvisitor, -75
1520600775515,18,Right,38:90:a5:9d:10:9c,TU Delft Open Dagen, -74
1520600775515,18,Right,38:90:a5:9d:0f:3e,TUvisitor, -89
1520600775515,18,Right,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -87
1520600775515,18,Right,38:90:a5:9d:10:92,tudelft-dastud, -71
1520600775515,18,Right,38:90:a5:9d:1a:e0,eduroam, -55
1520600775515,18,Right,50:0f:80:fd:7f:b0,eduroam, -68
1520600775515,18,Right,38:90:a5:20:ee:e3,TU Delft Open Dagen, -80
1520600775515,18,Right,38:90:a5:20:e9:0e,TUvisitor, -91
1520600775515,18,Right,38:90:a5:9d:1a:e2,tudelft-dastud, -55
1520600775515,18,Right,50:0f:80:fd:6d:7d,tudelft-dastud, -72
1520600775515,18,Right,e0:3f:49:09:d9:98,TRIBLER, -57
1520600775515,18,Right,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -59
1520600775515,18,Right,38:90:a5:9d:10:9e,TUvisitor, -72
1520600775515,18,Right,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -55
1520600775515,18,Right,38:90:a5:9d:10:9d,tudelft-dastud, -72
1520600775515,18,Right,50:0f:80:d8:f4:2d,tudelft-dastud, -84
1520600775515,18,Right,50:0f:80:c4:60:0f,eduroam, -85
1520600775515,18,Right,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -83
1520600775515,18,Right,38:90:a5:91:74:1c,TU Delft Open Dagen, -75
1520600775515,18,Right,38:90:a5:91:74:11,TUvisitor, -68
1520600775515,18,Right,50:0f:80:fd:84:3e,TUvisitor, -90
