TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1520594354602,C1,Right,3c:08:f6:e6:ef:2e,TUvisitor, -74
1520594354602,C1,Right,3c:08:f6:e6:ef:2b,Event Aula, -74
1520594354602,C1,Right,3c:08:f6:e6:ef:2a,VSV Symposium Challenge, -74
1520594354602,C1,Right,3c:08:f6:fb:31:da,VSV Symposium Challenge, -78
1520594354602,C1,Right,3c:08:f6:e6:f1:25,VSV Symposium Challenge, -80
1520594354602,C1,Right,3c:08:f6:ff:a3:21,TUvisitor, -72
1520594354602,C1,Right,3c:08:f6:ff:a3:24,Event Aula, -72
1520594354602,C1,Right,3c:08:f6:ff:a3:2b,Event Aula, -71
1520594354602,C1,Right,3c:08:f6:e6:ef:2f,eduroam, -74
1520594354602,C1,Right,3c:08:f6:ff:a3:2c,TU Delft Open Dagen, -70
1520594354602,C1,Right,3c:08:f6:fb:31:df,eduroam, -78
1520594354602,C1,Right,3c:08:f6:e6:f1:2d,tudelft-dastud, -85
1520594354602,C1,Right,3c:08:f6:e6:ef:20,eduroam, -69
1520594354602,C1,Right,3c:08:f6:e6:ef:25,VSV Symposium Challenge, -71
1520594354602,C1,Right,3c:08:f6:fb:31:d5,VSV Symposium Challenge, -74
1520594354602,C1,Right,3c:08:f6:e6:ef:2c,TU Delft Open Dagen, -74
1520594354602,C1,Right,3c:08:f6:e6:f1:20,eduroam, -80
1520594354602,C1,Right,3c:08:f6:ff:a3:2e,TUvisitor, -71
1520594354602,C1,Right,3c:08:f6:ff:a3:2f,eduroam, -70
1520594354602,C1,Right,3c:08:f6:e6:ef:24,Event Aula, -70
1520594354602,C1,Right,36:f6:4b:dd:1c:3d,DIRECT-NiBHAVYAJAINms4Y, -36
1520594354602,C1,Right,3c:08:f6:fb:31:d2,tudelft-dastud, -74
1520594354602,C1,Right,3c:08:f6:fb:31:dd,tudelft-dastud, -79
1520594354602,C1,Right,3c:08:f6:fb:31:de,TUvisitor, -79
