TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1520594788822,C1,Up,3c:08:f6:e6:ef:2e,TUvisitor, -80
1520594788822,C1,Up,3c:08:f6:e6:f1:2b,Event Aula, -89
1520594788822,C1,Up,3c:08:f6:e6:ef:2b,Event Aula, -80
1520594788822,C1,Up,3c:08:f6:fb:31:da,VSV Symposium Challenge, -81
1520594788822,C1,Up,3c:08:f6:e6:ef:2a,VSV Symposium Challenge, -81
1520594788822,C1,Up,3c:08:f6:fb:31:d1,TUvisitor, -72
1520594788822,C1,Up,3c:08:f6:fb:31:d0,eduroam, -71
1520594788822,C1,Up,3c:08:f6:fb:43:9f,eduroam, -82
1520594788822,C1,Up,3c:08:f6:ff:a3:21,TUvisitor, -67
1520594788822,C1,Up,3c:08:f6:ff:a3:24,Event Aula, -67
1520594788822,C1,Up,3c:08:f6:fb:31:dc,TU Delft Open Dagen, -81
1520594788822,C1,Up,3c:08:f6:ff:a3:20,eduroam, -64
1520594788822,C1,Up,3c:08:f6:ff:a3:22,tudelft-dastud, -67
1520594788822,C1,Up,3c:08:f6:ff:a3:2a,VSV Symposium Challenge, -74
1520594788822,C1,Up,3c:08:f6:e6:ef:23,TU Delft Open Dagen, -79
1520594788822,C1,Up,3c:08:f6:e6:f1:2a,VSV Symposium Challenge, -87
1520594788822,C1,Up,3c:08:f6:fb:31:d4,Event Aula, -71
1520594788822,C1,Up,3c:08:f6:fb:31:db,Event Aula, -80
1520594788822,C1,Up,3c:08:f6:ff:a3:25,VSV Symposium Challenge, -66
1520594788822,C1,Up,3c:08:f6:ff:a3:2b,Event Aula, -74
1520594788822,C1,Up,3c:08:f6:e6:ef:2f,eduroam, -80
1520594788822,C1,Up,3c:08:f6:e6:f1:2e,TUvisitor, -87
1520594788822,C1,Up,3c:08:f6:ff:a3:2c,TU Delft Open Dagen, -74
1520594788822,C1,Up,3c:08:f6:ff:a3:2d,tudelft-dastud, -74
1520594788822,C1,Up,3c:08:f6:ff:a3:23,TU Delft Open Dagen, -67
1520594788822,C1,Up,3c:08:f6:fb:31:df,eduroam, -80
1520594788822,C1,Up,3c:08:f6:e6:f1:2d,tudelft-dastud, -87
1520594788822,C1,Up,3c:08:f6:e6:ef:20,eduroam, -78
1520594788822,C1,Up,3c:08:f6:fb:31:d5,VSV Symposium Challenge, -72
1520594788822,C1,Up,3c:08:f6:e6:ef:25,VSV Symposium Challenge, -78
1520594788822,C1,Up,3c:08:f6:e6:ef:2c,TU Delft Open Dagen, -81
1520594788822,C1,Up,3c:08:f6:ff:a3:2e,TUvisitor, -75
1520594788822,C1,Up,3c:08:f6:ff:a3:2f,eduroam, -75
1520594788822,C1,Up,3c:08:f6:e6:ef:2d,tudelft-dastud, -80
1520594788822,C1,Up,3c:08:f6:e6:ef:24,Event Aula, -77
1520594788822,C1,Up,36:f6:4b:dd:1c:3d,DIRECT-NiBHAVYAJAINms4Y, -36
1520594788822,C1,Up,3c:08:f6:e6:f1:2c,TU Delft Open Dagen, -88
1520594788822,C1,Up,3c:08:f6:fb:31:d2,tudelft-dastud, -71
1520594788822,C1,Up,3c:08:f6:fb:31:dd,tudelft-dastud, -80
1520594788822,C1,Up,3c:08:f6:fb:31:de,TUvisitor, -81
1520594788822,C1,Up,3c:08:f6:fb:31:d3,TU Delft Open Dagen, -71
1520594828835,C1,Up,3c:08:f6:e6:ef:2e,TUvisitor, -79
1520594828835,C1,Up,3c:08:f6:e6:ef:2b,Event Aula, -79
1520594828835,C1,Up,3c:08:f6:fb:31:da,VSV Symposium Challenge, -78
1520594828835,C1,Up,3c:08:f6:e6:ef:2a,VSV Symposium Challenge, -79
1520594828835,C1,Up,3c:08:f6:fb:43:9f,eduroam, -78
1520594828835,C1,Up,3c:08:f6:ff:a3:21,TUvisitor, -67
1520594828835,C1,Up,3c:08:f6:ff:a3:24,Event Aula, -67
1520594828835,C1,Up,3c:08:f6:fb:43:91,TUvisitor, -79
1520594828835,C1,Up,3c:08:f6:fb:43:92,tudelft-dastud, -80
1520594828835,C1,Up,3c:08:f6:ff:a3:2b,Event Aula, -73
1520594828835,C1,Up,3c:08:f6:e6:ef:2f,eduroam, -79
1520594828835,C1,Up,3c:08:f6:ff:a3:2c,TU Delft Open Dagen, -73
1520594828835,C1,Up,3c:08:f6:fb:31:df,eduroam, -79
1520594828835,C1,Up,3c:08:f6:e6:ef:20,eduroam, -74
1520594828835,C1,Up,3c:08:f6:fb:31:d5,VSV Symposium Challenge, -73
1520594828835,C1,Up,3c:08:f6:e6:ef:25,VSV Symposium Challenge, -74
1520594828835,C1,Up,3c:08:f6:e6:ef:2c,TU Delft Open Dagen, -79
1520594828835,C1,Up,3c:08:f6:ff:a3:2e,TUvisitor, -73
1520594828835,C1,Up,3c:08:f6:fb:43:9a,VSV Symposium Challenge, -78
1520594828835,C1,Up,3c:08:f6:ff:a3:2f,eduroam, -73
1520594828835,C1,Up,3c:08:f6:fb:43:95,VSV Symposium Challenge, -79
1520594828835,C1,Up,3c:08:f6:e6:ef:24,Event Aula, -76
1520594828835,C1,Up,3c:08:f6:fb:43:90,eduroam, -80
1520594828835,C1,Up,36:f6:4b:dd:1c:3d,DIRECT-NiBHAVYAJAINms4Y, -38
1520594828835,C1,Up,3c:08:f6:fb:31:d2,tudelft-dastud, -73
1520594828835,C1,Up,3c:08:f6:fb:31:dd,tudelft-dastud, -78
1520594828835,C1,Up,3c:08:f6:fb:31:de,TUvisitor, -78
